hallno, capacity,Columns
1,30,6
2,30,6
3,34,6
4,30,6
5,33,6
6,30,6
7,30,6
8,30,6
9,30,6
10,30,5
11,30,6
12,33,6
13,34,6
14,30,4
15,30,6
16,30,6
17,30,6
18,31,6
19,30,6
20,30,6
21,30,6
22,30,6
23,30,6
24,30,6
